# x	y	u	v	mask
656.0000	 32.0000	  8.1600	 -3.0252	  1.0000
664.0000	 32.0000	 -0.1379	 -0.3407	  0.0000
  8.0000	 40.0000	 -0.2008	 -1.9452	  0.0000
 16.0000	 40.0000	 -1.5193	 -1.4603	  0.0000
 24.0000	 40.0000	  0.5069	  1.1647	  0.0000
 32.0000	 40.0000	  1.5302	  1.0944	  0.0000
 40.0000	 40.0000	 -0.4032	 -0.6517	  0.0000
 48.0000	 40.0000	 -0.4778	 -0.3795	  0.0000
 56.0000	 40.0000	 -0.2025	 -0.1397	  0.0000
 64.0000	 40.0000	 -1.8800	 -0.0314	  0.0000
 72.0000	 40.0000	 -1.0361	 -0.3057	  0.0000
 80.0000	 40.0000	 -1.5763	 -1.4907	  0.0000
 88.0000	 40.0000	 -0.5509	 -0.4346	  0.0000
 96.0000	 40.0000	  0.2560	 -0.2375	  0.0000
104.0000	 40.0000	 -0.0315	 -0.2879	  0.0000
112.0000	 40.0000	  0.4772	 -0.2042	  0.0000
120.0000	 40.0000	  1.0622	 -0.0729	  0.0000
128.0000	 40.0000	 -1.1560	 -0.4147	  0.0000
136.0000	 40.0000	  0.8984	 -1.1928	  0.0000
144.0000	 40.0000	 -5.2715	  0.4460	  0.0000
152.0000	 40.0000	-10.5375	  2.7695	  0.0000
160.0000	 40.0000	 -7.6369	 -1.0203	  0.0000
168.0000	 40.0000	 -8.8770	 11.6167	  0.0000
176.0000	 40.0000	 -8.9137	 13.2874	  1.0000
184.0000	 40.0000	 -7.9471	 -1.3335	  0.0000
192.0000	 40.0000	 -3.4050	  0.1555	  0.0000
200.0000	 40.0000	 -5.8234	  2.5214	  0.0000
208.0000	 40.0000	-12.7301	 -0.6960	  0.0000
216.0000	 40.0000	-11.0942	 -0.2290	  0.0000
224.0000	 40.0000	 -7.5455	  0.6417	  0.0000
232.0000	 40.0000	-19.7740	  3.0710	  0.0000
240.0000	 40.0000	-14.7862	  4.3887	  0.0000
248.0000	 40.0000	-17.7441	  5.9250	  0.0000
256.0000	 40.0000	-16.1070	  3.4865	  0.0000
264.0000	 40.0000	 -9.5602	 -0.8851	  0.0000
272.0000	 40.0000	-12.4155	  2.5979	  0.0000
280.0000	 40.0000	 -7.2018	  8.4579	  0.0000
288.0000	 40.0000	-18.3301	  4.7975	  0.0000
296.0000	 40.0000	-10.5572	  6.3975	  0.0000
304.0000	 40.0000	-28.5100	 15.8823	  0.0000
312.0000	 40.0000	-53.8755	  7.6266	  0.0000
320.0000	 40.0000	-29.0082	  8.5238	  0.0000
328.0000	 40.0000	-76.1332	  8.8050	  1.0000
336.0000	 40.0000	-72.5822	  2.0933	  0.0000
344.0000	 40.0000	-47.7171	  3.8485	  0.0000
352.0000	 40.0000	-23.9313	 15.7702	  0.0000
360.0000	 40.0000	-29.0425	 13.7968	  0.0000
368.0000	 40.0000	-35.6014	 19.1186	  0.0000
376.0000	 40.0000	-48.9115	 -0.0825	  0.0000
384.0000	 40.0000	-48.5417	 -6.6400	  0.0000
392.0000	 40.0000	-27.9315	  2.1653	  0.0000
400.0000	 40.0000	-13.0927	 -1.8294	  0.0000
408.0000	 40.0000	-56.3688	 -0.0226	  0.0000
416.0000	 40.0000	-29.1794	  2.1060	  1.0000
424.0000	 40.0000	-15.0563	 -0.4719	  0.0000
432.0000	 40.0000	-26.8415	  0.6723	  0.0000
440.0000	 40.0000	-25.7417	-12.4782	  0.0000
448.0000	 40.0000	-12.1561	 -2.1530	  0.0000
456.0000	 40.0000	-12.0021	  6.8580	  0.0000
464.0000	 40.0000	 -7.8119	  2.5434	  0.0000
472.0000	 40.0000	-14.1438	  3.0352	  1.0000
480.0000	 40.0000	 -8.8082	  7.7678	  0.0000
488.0000	 40.0000	-11.4667	 12.1414	  0.0000
496.0000	 40.0000	-22.0083	 -3.4425	  0.0000
504.0000	 40.0000	-11.3805	 -6.3382	  0.0000
512.0000	 40.0000	 -0.3134	 -1.6055	  0.0000
520.0000	 40.0000	  0.1391	 -0.3212	  0.0000
528.0000	 40.0000	 -0.0044	 -0.1482	  0.0000
536.0000	 40.0000	  0.1883	 -0.1084	  0.0000
544.0000	 40.0000	  0.2332	 -0.0781	  0.0000
552.0000	 40.0000	 -0.2135	  0.3362	  0.0000
560.0000	 40.0000	     nan	     nan	  1.0000
568.0000	 40.0000	     nan	     nan	  1.0000
576.0000	 40.0000	     nan	     nan	  1.0000
584.0000	 40.0000	     nan	     nan	  1.0000
592.0000	 40.0000	     nan	     nan	  1.0000
600.0000	 40.0000	     nan	     nan	  1.0000
608.0000	 40.0000	     nan	     nan	  1.0000
616.0000	 40.0000	     nan	     nan	  1.0000
624.0000	 40.0000	     nan	     nan	  1.0000
632.0000	 40.0000	  1.2632	-11.5714	  1.0000
640.0000	 40.0000	  7.3973	 -8.6769	  1.0000
648.0000	 40.0000	 -1.7609	  0.3843	  1.0000
656.0000	 40.0000	  4.9600	 -4.5943	  1.0000
664.0000	 40.0000	 -2.0193	 -4.7031	  1.0000
  8.0000	 48.0000	 -0.0595	 -1.0950	  0.0000
 16.0000	 48.0000	 -0.9156	 -1.3544	  0.0000
 24.0000	 48.0000	 -0.2295	 -2.7888	  0.0000
 32.0000	 48.0000	  0.0591	 -0.2937	  0.0000
 40.0000	 48.0000	 -0.2916	 -0.1960	  0.0000
 48.0000	 48.0000	 -0.4513	 -0.2009	  0.0000
 56.0000	 48.0000	  0.2616	 -0.4525	  0.0000
 64.0000	 48.0000	 -0.3524	  0.1197	  0.0000
 72.0000	 48.0000	 -0.7957	  0.2934	  0.0000
 80.0000	 48.0000	 -0.6310	 -0.5229	  0.0000
 88.0000	 48.0000	 -0.3375	 -0.1063	  0.0000
 96.0000	 48.0000	 -0.4114	  0.2212	  0.0000
104.0000	 48.0000	  0.1916	  0.7955	  0.0000
112.0000	 48.0000	 -1.5974	  2.0300	  0.0000
120.0000	 48.0000	  1.4958	  1.8370	  0.0000
128.0000	 48.0000	 -0.8104	 -4.3763	  0.0000
136.0000	 48.0000	  2.4154	 -8.3287	  0.0000
144.0000	 48.0000	 -1.8838	 -1.8447	  0.0000
152.0000	 48.0000	 -0.9682	  0.1572	  0.0000
160.0000	 48.0000	 -4.0447	  2.4211	  1.0000
168.0000	 48.0000	 -6.4586	  6.8577	  0.0000
176.0000	 48.0000	-28.4913	  4.1788	  0.0000
184.0000	 48.0000	 -6.2239	  8.8774	  0.0000
192.0000	 48.0000	 -3.8118	  9.7233	  0.0000
200.0000	 48.0000	-14.7077	  5.8423	  0.0000
208.0000	 48.0000	-28.9899	 -2.2115	  0.0000
216.0000	 48.0000	-35.4242	  5.7257	  0.0000
224.0000	 48.0000	-23.6065	 14.8587	  1.0000
232.0000	 48.0000	-23.3569	  6.6020	  0.0000
240.0000	 48.0000	-32.5923	  3.8756	  0.0000
248.0000	 48.0000	-37.0463	  4.2387	  0.0000
256.0000	 48.0000	-29.0904	  5.6947	  0.0000
264.0000	 48.0000	-25.8913	  6.1043	  0.0000
272.0000	 48.0000	-39.7437	  2.1892	  0.0000
280.0000	 48.0000	-19.7144	  1.2527	  0.0000
288.0000	 48.0000	-17.8271	 14.4035	  1.0000
296.0000	 48.0000	-24.8366	 15.7064	  1.0000
304.0000	 48.0000	-19.0108	 15.4303	  0.0000
312.0000	 48.0000	-44.2832	 14.3664	  0.0000
320.0000	 48.0000	-55.7483	 29.1123	  0.0000
328.0000	 48.0000	-66.9827	 16.8897	  0.0000
336.0000	 48.0000	-80.3046	  6.3545	  0.0000
344.0000	 48.0000	-30.2408	 14.6722	  0.0000
352.0000	 48.0000	-85.8704	 11.0264	  0.0000
360.0000	 48.0000	-57.3985	 19.4861	  0.0000
368.0000	 48.0000	-35.7494	 -1.6172	  0.0000
376.0000	 48.0000	-33.3984	  1.2062	  0.0000
384.0000	 48.0000	-55.6709	 11.6155	  0.0000
392.0000	 48.0000	-23.2064	  5.2919	  0.0000
400.0000	 48.0000	-58.6433	 -7.5413	  0.0000
408.0000	 48.0000	-47.8833	 -1.9289	  0.0000
416.0000	 48.0000	-30.1273	  5.1206	  0.0000
424.0000	 48.0000	-20.9851	 17.6745	  0.0000
432.0000	 48.0000	-14.5529	  4.6757	  0.0000
440.0000	 48.0000	-22.3089	  4.6148	  0.0000
448.0000	 48.0000	 -8.7512	  5.4387	  0.0000
456.0000	 48.0000	-18.8088	 -2.9600	  0.0000
464.0000	 48.0000	-14.7459	 -2.7123	  0.0000
472.0000	 48.0000	 -6.4981	  0.5415	  0.0000
480.0000	 48.0000	 -9.4803	 -1.2743	  0.0000
488.0000	 48.0000	-13.7327	  0.8680	  0.0000
